 from,to,position,time
ra,Monterrey,Ausbildung,2003
ra,Stuttgart_Schule,Ausbildung,2008
ra,Stuttgart_Schule,Abschluss,2011
ra,Stuttgart_Ballett,Elevin,2011
ra,Stuttgart_Ballett,Corps_de_Ballett,2012
ra,Stuttgart_Ballett,Halbsolist,2014
ra,Stuttgart_Ballett,Solist,2018
ra,Stuttgart_Ballett,Erster_Solist,2021
eb,Valenzia,Ausbildung,2002
eb,London_School,Abschluss,2009
eb,Stuttgart_Ballett,Elevin,2009
eb,Stuttgart_Ballett,Corps_de_Ballett,2010
eb,Stuttgart_Ballett,Halbsolist,2011
eb,Stuttgart_Ballett,Solist,2012
eb,Stuttgart_Ballett,Erster_Solist,2013
eb,Stuttgart_Theater,Kammertaenzerin,2023
mb,Stafford,Ausbildung,2005
mb,Virginia,Ausbildung,2011
mb,Monaco,Ausbildung,2016
mb,Monaco,Abschluss,2019
mb,Stuttgart_Ballett,Corps_de_Ballett,2020
mb,Stuttgart_Ballett,Halbsolist,2021
mb,Stuttgart_Ballett,Solist,2022
mb,Stuttgart_Ballett,Erster_Solist,2023
mk,Bratislava,Ausbildung,1993
mk,Monaco,Ausbildung,2001
mk,Monaco,Abschluss,2004
mk,Zuerich_Ballett,Corps_de_Ballett,2004
mk,Stuttgart_Ballett,Corps_de_Ballett,2005
mk,Stuttgart_Ballett,Halbsolistin,2010
mk,Stuttgart_Ballett,Solist,2014
mk,Stuttgart_Ballett,Erster_Solist,2014
ao,Almaty,Ausbildung,NA
ao,Stuttgart_Schule,Ausbildung,2000
ao,Stuttgart_Schule,Abschluss,2001
ao,Stuttgart_Ballett,Elevin,2001
ao,Stuttgart_Ballett,Corps_de_Ballett,2002
ao,Stuttgart_Ballett,Halbsolist,2005
ao,Stuttgart_Ballett,Solist,2007
ao,Stuttgart_Ballett,Erster_Solist,2008
as,San_Clemente,Ausbildung,NA
as,Fountain_Valley,Ausbildung,NA
as,Stuttgart_Schule,Ausbildung,2010
as,Stuttgart_Schule,Abschluss,2013
as,Stuttgart_Ballett,Corps_de_Ballett,2012
as,Stuttgart_Ballett,Elevin,2013
as,Stuttgart_Ballett,Halbsolist,2017
as,Stuttgart_Ballett,Solist,2019
as,Stuttgart_Ballett,Erster_Solist,2021
aa,Paris_Opera,Ausbildung,1999
